entidad_federativa,poblacion_2020,superficie_entidad_hectareas,total_superficie_forestal_ha,superficie_total_de_bosque_ha,superficie_total_de_selva_ha,superficie_total_de_manglar_ha,superficie_otras_asociaciones_ha,superficie_subtotal_arbolado_ha,superficie_total_matorral_xerofilo_ha,superficie_total_otras_areas_forestales_ha,area_no_forestal_agricultura_de_humedad_ha,area_no_forestal_agricultura_de_riego_ha,area_no_forestal_agricultura_de_temporal_ha,area_no_forestal_cuerpo_de_agua_ha,area_no_forestal_acuicola_ha,area_no_forestal_pastizal_cultivado_ha,area_no_forestal_pastizal_inducido_ha,area_no_forestal_sin_vegetacion_aparente_ha,area_no_forestal_desprovisto_de_vegetacion_ha,area_no_forestal_asentamientos_humanos_ha,total_unidades_de_produccion_forestal,total_hectareas_produccion_forestal,total_unidades_con_superficie_reforestada,unidades_reforestadas_para_restauracion_del_entorno_y_proteccion_del_suelo_y_agua,total_superficie_reforestada_hectareas,superficie_reforestada_para_restauracion_del_entorno_y_proteccion_del_suelo_y_agua,total_unidades_de_produccion_con_superficie_deforestada,total_superficie_deforestada_hectareas,superficie_deforestada_por_causas_naturales,unidades_deforestadas_cambio_de_uso_de_suelo_agricola,superficie_deforestada_cambio_de_uso_de_suelo_agricola,unidades_deforestadas_cambio_de_uso_de_suelo_pastoreo_de_ganado,superficie_deforestada_cambio_de_uso_de_suelo_pastoreo_de_ganado,unidades_deforestadas_cambio_de_uso_de_suelo_habitacional,superficie_deforestada_cambio_de_uso_de_suelo_habitacional,unidades_deforestadas_cambio_de_uso_de_suelo_comercio,superficie_deforestada_cambio_de_uso_de_suelo_comercio,unidades_deforestadas_cambio_de_uso_de_suelo_industria,superficie_deforestada_cambio_de_uso_de_suelo_industria,unidades_deforestadas_cambio_de_uso_de_suelo_servicios,superficie_deforestada_cambio_de_uso_de_suelo_servicios,unidades_deforestadas_cambio_de_uso_de_suelo_forestal,superficie_deforestada_cambio_de_uso_de_suelo_forestal,unidades_deforestadas_cambio_de_uso_de_suelo_otros_usos,superficie_deforestada_cambio_de_uso_de_suelo_otros_usos
Aguascalientes,1425607,561634.8086,259634.7848,101575.2101,30031.68171,0,0,131606.8919,35700.71877,92327.1742,0,121131.7755,121899.7535,4750.616059,0,99.01053733,30039.80259,0,712.1098023,23366.95579,12,16488.6,10,10,256,256,3,103.5,3.5,0,0,0,0,0,0,1,100,0,0,0,0,0,0,2,3.5
Baja California,8769020,7313648.682,6299637.143,176522.3164,0,0,6968.485992,183490.8024,5786795.525,329350.816,0,350320.9319,104697.1004,23354.36302,359.1556071,736.7607466,123464.5589,304021.6308,1227.730408,105829.307,39,483348.234,19,19,1615,1585,4,1002,300,0,0,1,2,0,0,1,100,0,0,0,0,1,600,1,300
Baja California Sur,798447,7461519.565,6818426.016,58469.30527,380251.0303,37291.91353,498.3457683,476510.5949,5658129.929,683785.4921,0,186577.2278,415.6706404,265452.851,2185.517724,14162.03734,19993.15987,90931.35812,29567.56876,33808.15725,25,138652.02,13,13,561.25,561.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,928363,5752087.692,4330835.342,13460.92522,3782854.848,192663.615,116572.1975,4105551.585,0,225283.7565,5116.921412,117991.7719,271664.8432,218782.0465,355.8736925,732212.1712,13756.65,25365.99586,1354.419374,34651.65751,75,296928.3968,22,22,10940,10848.2,10,12352,8062,0,0,1,4000,0,0,3,112,0,0,1,78,4,8122,1,40
Coahuila de Zaragoza,3146771,15162221.84,13742860.65,836629.6729,0,0,1929.044922,838558.7178,11412626.18,1491675.754,1167.643095,492642.1255,264127.7447,37357.79603,0,218294.8639,206565.1196,89613.95719,16757.16242,92834.77625,37,490799.23,28,26,12386,12141,6,20495,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20495,0,0
Colima,731391,577409.4314,323599.4485,54113.66966,249573.876,4664.902544,0,308352.4482,9646.019339,5600.980993,0,101744.8856,67727.49376,9716.398344,518.1567472,44423.97477,9230.331763,2343.346898,1329.39185,16776.00317,3,3488.5,3,3,107.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiapas,5543828,7331417.973,3585555.074,1591903.464,1819327.529,54082.20135,53288.1268,3518601.32,125.632173,66828.12175,0,139974.8827,1540010.691,149805.2012,563.2212123,1484728.503,335368.6321,5412.057534,3161.034911,86838.67553,47,29462.0829,28,27,1361,1345.5,10,502.5,420.5,0,0,0,0,0,0,2,24,0,0,0,0,7,78.5,1,400
Chihuahua,3741869,24745286.1,21610804.96,7007289.07,510593.2903,0,169.9287323,7518052.289,8514135.859,5578616.814,139.335428,1209136.718,925812.0545,81471.30796,0,4723.979217,675961.6063,93518.89663,5188.268932,138528.9712,202,2600148.904,112,97,12716.215,11114.512,107,93018.219,38782.709,9,12447,11,2977.709,0,0,4,1117,0,0,0,0,79,76201.51,4,275
Ciudad de México,9209944,149513.1881,44715.17727,40978.76957,0,0,1712.632146,42691.40171,978.5343586,1045.241195,0,4946.99845,27926.76965,459.7118724,0,460.8852824,5469.447148,143.7096456,0,65390.48877,24,32691.8992,24,19,6392.7,3779.4,4,1836,944,0,0,0,0,0,0,0,0,0,0,0,0,4,1836,0,0
Durango,1832650,12337542.1,10618110.32,5193060.023,583392.2459,0,316.9722249,5776769.241,2623500.262,2217840.821,0,371141.9353,913810.2688,46113.04142,0,994.7572479,327038.7946,8086.317581,2938.657838,49308.00317,789,4000561.218,406,381,18424.0487,16584.478,29,10291.35,5165.96,0,0,3,152,0,0,0,0,0,0,0,0,21,5906.85,5,4232.5
Guanajuato,6166934,3061047.276,1262179.569,477178.7525,243715.4005,0,41.36319706,720935.5162,210912.6043,330331.4482,5724.471288,629095.1613,819577.2819,30782.28495,0,73.44190672,219743.134,2938.509573,1263.377896,89670.04406,39,47557.55,22,18,1752,1568.5,9,2063,2052,0,0,1,5,0,0,1,1,0,0,0,0,6,2054,1,3
Guerrero,3540685,6360000.702,4339165.146,2306850.12,1955112.159,12341.27812,35393.47725,4309697.034,0,29468.11188,0,104753.2219,871944.2036,52320.30147,353.6148663,547761.9969,364639.6613,2368.216193,3513.87644,73180.46312,156,569968.8277,99,88,26521.853,17807.355,54,10224.377,1541.74,3,27,3,267.5,1,1,14,5760,1,20,5,285.377,22,3552,5,311.5
Hidalgo,3082841,2082445.862,962134.053,545670.3645,115896.8716,0,269.0365957,661836.2727,279624.8792,20672.90112,578.2773223,164072.1721,666657.3917,9604.927124,0,73071.20274,147623.1115,1973.025042,1832.048979,54899.65252,153,63124.425,140,101,2831.9427,1601.4187,85,1272.678,535.132,0,0,1,3,0,0,0,0,0,0,0,0,82,1227.178,2,42.5
Jalisco,8348151,7860414.735,4546511.5,2366019.611,1733227.21,3642.682842,12515.29878,4115404.803,14664.81439,416441.883,43314.64333,529948.8506,1715591.779,161704.7867,10.68508263,222395.1485,500589.5056,2328.186714,1951.483934,136068.1658,137,333171.2198,95,78,17484.6,16942.6,44,7314.701,1820.501,4,720,5,52,1,24,1,100,0,0,1,50,30,6258.701,2,110
México,16992418,2235753.745,788503.864,623624.7159,116540.5819,0,12884.11944,753049.4173,17108.79491,18345.65177,17355.88412,265207.0286,691396.4742,20876.20227,0,462.7507324,286469.8727,10352.33491,1306.790911,153822.5424,389,233830.362,365,339,17702.5356,16094.9206,141,10346.3743,2689.9793,5,5093.5,12,1134.8,3,18,10,519.5,2,255,2,60,102,3201.5593,5,64.015
Michoacán de Ocampo,4748846,5860562.267,3519015.468,1652546.271,1839871.935,1984.663199,8508.562575,3502911.433,3652.02094,12452.01463,14268.20604,738130.0077,835122.4445,83977.12649,0,202256.1604,355603.3083,4775.826225,3086.756733,104326.9623,517,429448.5193,405,342,19396.304,14359.114,171,12837.64,6118.95,12,1409,10,466,0,0,1,20,0,0,0,0,144,10812.64,4,130
Morelos,1971520,487977.5277,183780.496,54185.63411,129133.4479,0,89.71458616,183408.7966,246.5009392,125.1985428,0,140831.7214,91458.57499,1517.491428,0,385.6389321,26176.95771,51.45928472,387.1334928,43388.05444,53,58949,38,37,4571,4569,7,469.04,44.54,0,0,0,0,0,0,0,0,0,0,0,0,7,469.04,0,0
Nayarit,1235456,2810391.683,1918333.334,936335.3359,815127.6941,99124.90695,17418.54081,1868006.478,4542.701751,45784.15429,0,232868.6665,329055.1463,54102.50504,10194.5717,41997.3739,180493.1464,4688.638819,294.1765626,38364.12423,62,535308.77,44,41,20647.97,5777.97,21,12461,9870,5,461,5,1413,0,0,2,215,0,0,0,0,9,10372,0,0
Nuevo León,5784442,6416327.329,4196112.14,687653.6271,10864.92888,0,0,698518.556,3342697.884,154895.7002,0,334603.6723,495750.033,25678.65884,0,1111558.502,123259.9252,1053.605067,3012.044552,125298.748,66,272310.709,56,44,4562,3411,22,6667.0216,2687.0216,0,0,0,0,0,0,2,55,0,0,0,0,10,5721,10,891.0216
Oaxaca,4132148,9376581.998,6692729.994,3714255.441,2767107.36,29412.16386,98439.94393,6609214.909,56966.27705,26548.80758,16412.02832,134988.8695,1338634.504,182035.2019,0,635071.17,255278.1427,19704.02309,832.5074515,100895.5564,146,561467.0189,114,84,4521.663,1678.963,38,1188.26,826.25,3,190,1,5,0,0,2,70,0,0,0,0,30,869.26,2,54
Puebla,6583278,3431698.691,1573554.131,620601.0796,622179.7779,0,18057.00306,1260837.861,280642.2949,32073.97557,33.02539259,282304.6266,1187893.852,5828.918106,0,114229.5821,158621.116,9148.700662,1150.421318,98934.31715,260,103618.4455,245,181,7593.5258,5056.335,136,6795.1426,2706.0921,0,0,3,14,0,0,1,0.5,1,73,0,0,127,6677.6426,4,30
Querétaro,2368467,1169158.807,696347.8547,280065.3956,145633.2898,0,541.8771601,426240.5626,261455.8174,8651.474747,297.2474837,84296.04373,260248.6449,4318.94855,0,1326.573245,86019.69122,124.6481678,698.6959294,35480.45926,46,65601.1904,27,24,761.325,759.875,24,282.096,129.096,1,12,1,3,0,0,3,6.5,0,0,0,0,13,195.5,6,65.096
Quintana Roo,1857985,4336488.617,3877252.915,0,3445295.723,188860.1962,11656.6543,3645812.574,0,231440.341,2905.165102,18422.19016,192645.9162,36760.66702,0,143880.459,0,3416.684775,4494.003199,56710.61728,104,667127.4,67,63,30076.2,29811.2,50,34937.5,133,1,4,0,0,0,0,0,0,0,0,0,0,49,34933.5,0,0
San Luis Potosí,2822255,6114433.139,4248261.253,569355.949,400110.0657,0,5682.737714,975148.7524,2910064.83,363047.6708,3164.635305,273278.8539,1098307.643,18002.20372,0,255210.4496,144921.0778,368.9975334,2117.834714,70800.19037,60,172836.8248,40,35,5076,4766,13,1820,444,0,0,7,1102,0,0,2,550,0,0,0,0,4,168,0,0
Sinaloa,3026943,5739457.965,3205202.299,870592.6537,2013372.657,102066.5127,3610.655151,2989642.478,136586.039,78973.78201,0,1171809.503,806806.3691,263623.3491,69176.04363,59813.77206,44901.55247,44067.33325,2010.776307,72046.96612,20,110045.24,4,3,175,130,10,17921,814,0,0,0,0,0,0,0,0,0,0,0,0,6,4765,4,13156
Sonora,2944840,18066793.28,14947828.6,1973339.456,1806246.635,15492.13902,297.9129306,3795376.143,9818318.753,1334133.703,0,1036101.459,224825.506,96776.89586,49808.96121,889912.2884,588564.0266,136439.0437,7090.660864,89445.84433,18,127344.829,4,4,2260,2260,5,7500.8,3696,0,0,3,4100.8,0,0,1,3000,0,0,0,0,1,400,0,0
Tabasco,2402598,2473532.442,817154.1303,19657.84685,236079.1902,61933.17121,67066.01307,384736.2213,0,432417.909,321.9682879,20885.13791,393797.8301,131267.8706,11.40816466,1075497.487,5014.094859,98.6246796,1763.413556,27720.47616,4,3903.43,3,2,302,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamaulipas,3527735,8027363.214,3823023.045,607746.5879,838563.3574,4721.922522,2403.86575,1453435.734,2126148.545,243438.7662,892.9688341,793889.4283,1475350.637,369018.3822,1263.376747,1377664.497,52750.74618,25579.15175,2076.089446,105854.8914,59,113357.7,6,3,1906,6,16,1640,10,0,0,0,0,0,0,0,0,0,0,0,0,15,1637,1,3
Tlaxcala,1342977,399704.868,74169.96677,66710.85055,0,0,71.91337197,66782.76392,6315.286126,1071.916722,0,25145.58308,265864.5197,1625.014095,0,0,16616.54341,117.944191,2.062047053,16163.23464,46,16522.0781,44,40,2366.5032,2191.9552,15,1568.3889,1521.755,1,1,0,0,0,0,1,59,0,0,0,0,12,1508.3639,1,0.025
Veracruz de Ignacio de la Llave,8062579,7183486.481,1471181.313,315966.6948,846457.0476,46956.2315,24862.76101,1234242.735,12667.04541,224271.533,74343.30061,208355.3424,2335806.828,211401.0206,63.66753332,2725582.964,17431.41395,3491.283178,3276.705473,132552.6419,91,43527.0138,72,63,5569.4334,5132.0668,27,712.08,272.58,1,45,0,0,1,15,6,341,0,0,0,0,17,243,2,68.08
Yucatán,2320898,3953728.06,2694374.543,0,2541686.913,92654.84148,25786.79087,2660128.545,0,34245.9974,0,100954.9454,337039.7237,22749.76488,39.28385141,677032.004,9204.700593,9952.163037,11737.396,90643.53579,47,43844,9,9,1103,1103,11,387.24,2,1,7,1,5,0,0,1,199,0,0,0,0,5,18.74,3,157.5
Zacatecas,1622138,7528235.126,5224235.25,1084248.013,354075.3341,0,0,1438323.347,2675952.595,1109959.309,0,372850.4711,1639962.592,15461.2704,0,132.066502,220160.9638,2455.660235,5586.301342,47390.55065,37,70162.98,27,17,4296,2437,15,2149,1041,1,25,6,1747,0,0,1,100,0,0,0,0,6,227,1,50
